time,plasma_current
0.13019967,645.91235
0.1303997,645.9048
0.13059974,645.31067
0.13079977,644.39276
0.1309998,643.85486
0.1311996,643.16156
0.13139963,643.2066
0.13159966,643.0789
0.1317997,643.05695
0.13199973,642.9924
0.13219976,643.0018
0.1323998,642.7927
0.13259959,642.3435
0.13279963,641.73865
0.13299966,641.42633
0.13319969,641.3751
0.13339972,640.5697
0.13359976,639.1902
0.13379979,638.50854
0.13399982,637.3573
0.13419962,636.6651
0.13439965,635.9071
0.13459969,635.3016
0.13479972,635.18176
0.13499975,634.7312
0.13519979,633.97705
0.13539982,633.6608
0.13559961,633.7652
0.13579965,633.8391
0.13599968,633.47015
0.13619971,633.18634
0.13639975,633.3734
0.13659978,633.4914
0.13679981,633.65704
0.1369996,633.4854
0.13719964,633.3085
0.13739967,633.224
0.1375997,632.5255
0.13779974,631.94806
0.13799977,631.7626
0.1381998,631.7773
0.1383996,632.488
0.13859963,632.9113
0.13879967,633.95636
0.1389997,634.1993
0.13919973,634.33545
0.13939977,634.5155
0.1395998,634.7517
0.1397996,635.07043
0.13999963,635.87445
0.14019966,636.3482
0.1403997,636.9113
0.14059973,636.81836
0.14079976,636.3269
0.1409998,635.1664
0.14119959,634.21
0.14139962,633.7681
0.14159966,632.9923
0.14179969,633.34973
0.14199972,632.9993
0.14219975,633.2781
0.14239979,633.2694
0.14259982,633.2549
0.14279962,633.08246
0.14299965,633.1237
0.14319968,632.997
0.14339972,633.54736
0.14359975,633.6896
0.14379978,633.24896
0.14399981,633.3904
0.14419961,632.7497
0.14439964,632.16046
0.14459968,632.06714
0.14479971,632.03937
0.14499974,632.4974
0.14519978,632.32404
0.14539981,632.5617
0.1455996,632.6907
0.14579964,633.02216
0.14599967,633.65436
0.1461997,633.6828
0.14639974,634.16364
0.14659977,634.2786
0.1467998,634.6472
0.1469996,634.3845
0.14719963,634.7482
0.14739966,635.0379
0.1475997,634.1579
0.14779973,633.70996
0.14799976,633.62726
0.1481998,633.6959
0.14839959,634.48486
0.14859962,634.32544
0.14879966,635.2812
0.14899969,635.6539
0.14919972,635.88654
0.14939976,636.337
0.14959979,635.65155
0.14979982,636.35
0.14999962,637.13385
0.15019965,636.76324
0.15039968,635.87524
0.15059972,636.49316
0.15079975,636.5033
0.15099978,635.8235
0.15119982,635.5007
0.15139961,635.8451
0.15159965,636.5569
0.15179968,636.8671
0.15199971,637.7157
0.15219975,637.9097
0.15239978,637.94934
0.15259981,637.83466
0.1527996,638.0903
0.15299964,638.863
0.15319967,639.8205
0.1533997,640.83704
0.15359974,641.63226
0.15379977,642.1093
0.1539998,642.26917
0.1541996,642.12067
0.15439963,641.5824
0.15459967,641.50183
0.1547997,641.7774
0.15499973,642.9209
0.15519977,643.4503
0.1553998,644.05975
0.1555996,644.70636
0.15579963,645.0169
0.15599966,644.89044
0.1561997,645.4758
0.15639973,645.6557
0.15659976,646.28546
0.1567998,646.7323
0.15699959,647.12885
0.15719962,647.5363
0.15739965,647.555
0.15759969,647.4454
0.15779972,647.4663
0.15799975,647.27216
0.15819979,647.6867
0.15839982,647.651
0.15859962,647.7698
0.15879965,648.63727
0.15899968,649.00885
0.15919971,648.76434
0.15939975,648.75
0.15959978,648.65906
0.15979981,648.9715
0.15999961,648.634
0.16019964,648.1312
0.16039968,647.878
0.16059971,647.4998
0.16079974,647.0985
0.16099977,646.21027
0.16119981,645.8245
0.1613996,645.1575
0.16159964,644.80676
0.16179967,643.8654
0.1619997,643.3903
0.16219974,643.5021
0.16239977,643.5249
0.1625998,643.56464
0.1627996,643.99097
0.16299963,643.9336
0.16319966,644.4856
0.1633997,644.0996
0.16359973,644.3638
0.16379976,643.9418
0.1639998,643.87146
0.16419959,643.5783
0.16439962,643.24426
0.16459966,642.9374
0.16479969,642.78656
0.16499972,642.6838
0.16519976,642.37604
0.16539979,642.29626
0.16559982,642.1336
0.16579962,642.5492
0.16599965,642.438
0.16619968,642.63635
0.16639972,642.5155
0.16659975,643.1543
0.16679978,642.6675
0.16699982,642.287
0.16719961,642.25323
0.16739964,641.9093
0.16759968,642.09247
0.16779971,641.93854
0.16799974,641.7627
0.16819978,642.3274
0.16839981,641.70654
0.1685996,641.4099
0.16879964,640.96844
0.16899967,640.86975
0.1691997,640.73816
0.16939974,640.7496
0.16959977,640.5697
0.1697998,640.5311
0.1699996,639.94165
0.17019963,639.18695
0.17039967,638.1447
0.1705997,637.30554
0.17079973,636.7962
0.17099977,636.31287
0.1711998,636.15173
0.1713996,636.0942
0.17159963,635.8693
0.17179966,635.2101
0.1719997,634.8316
0.17219973,634.2335
0.17239976,633.7066
0.17259979,633.6774
0.17279983,633.8055
0.17299962,634.2045
0.17319965,634.0615
0.17339969,634.0926
0.17359972,634.05664
0.17379975,633.6185
0.17399979,633.65216
0.17419982,633.65027
0.17439961,633.74
0.17459965,633.7297
0.17479968,633.87915
0.17499971,633.6438
0.17519975,633.2264
0.17539978,633.1161
0.17559981,633.1641
0.17579961,633.47327
0.17599964,633.8238
0.17619967,633.6271
0.17639971,633.9019
0.17659974,633.9152
0.17679977,633.59
0.1769998,633.6025
0.1771996,633.6486
0.17739964,634.069
0.17759967,634.30695
0.1777997,634.3998
0.17799973,634.87195
0.17819977,635.0745
0.1783998,634.85504
0.1785996,634.5056
0.17879963,634.8571
0.17899966,634.9774
0.1791997,635.4874
0.17939973,635.378
0.17959976,635.74603
0.1797998,635.6493
0.17999959,635.0781
0.18019962,634.55457
0.18039966,634.3434
0.18059969,630.0342
0.18079972,631.2431
0.18099976,631.26483
0.18119979,631.5079
0.18139982,632.0803
0.18159962,631.96576
0.18179965,631.95026
0.18199968,631.71814
0.18219972,632.0864
0.18239975,632.22125
0.18259978,632.2741
0.18279982,632.3309
0.18299961,632.7007
0.18319964,632.5829
0.18339968,632.33417
0.18359971,632.2535
0.18379974,631.84717
0.18399978,632.26196
0.18419981,632.1601
0.1843996,632.0453
0.18459964,631.77844
0.18479967,631.6291
0.1849997,631.3015
0.18519974,631.09644
0.18539977,630.867
0.1855998,630.92883
0.1857996,631.06366
0.18599963,631.18353
0.18619967,630.98364
0.1863997,631.51215
0.18659973,631.5103
0.18679976,631.1264
0.1869998,631.3698
0.1871996,631.206
0.18739963,631.20447
0.18759966,631.73645
0.18779969,632.2938
0.18799973,631.9723
0.18819976,631.82666
0.18839979,631.61865
0.18859982,632.355
0.18879962,632.24176
0.18899965,632.2058
0.18919969,632.18774
0.18939972,632.3773
0.18959975,632.6293
0.18979979,632.68115
0.18999982,632.3321
0.19019961,631.5345
0.19039965,630.90924
0.19059968,630.33594
0.19079971,630.04944
0.19099975,630.0253
0.19119978,629.6921
0.19139981,629.8224
0.19159961,629.316
0.19179964,628.52057
0.19199967,627.98584
0.1921997,627.105
0.19239974,626.718
0.19259977,627.0327
0.1927998,627.2581
0.1929996,627.5617
0.19319963,627.49133
0.19339967,627.6369
0.1935997,627.49646
0.19379973,626.74194
0.19399977,625.9173
0.1941998,625.64465
0.1943996,625.4754
0.19459963,624.8241
0.19479966,624.2828
0.1949997,623.9773
0.19519973,623.3287
0.19539976,623.2005
0.1955998,622.82404
0.19579959,622.75195
0.19599962,622.69794
0.19619966,622.6722
0.19639969,622.7912
0.19659972,623.0226
0.19679976,622.4292
0.19699979,622.7859
0.19719982,621.9892
0.19739962,622.4393
0.19759965,622.6942
0.19779968,622.3829
0.19799972,623.2751
0.19819975,623.2761
0.19839978,624.2948
0.19859982,623.7393
0.19879961,623.74603
0.19899964,623.94507
0.19919968,624.1146
0.19939971,624.24207
0.19959974,624.5107
0.19979978,624.70026
0.19999981,624.55005
0.2001996,623.9624
0.20039964,623.4018
0.20059967,623.0444
0.2007997,623.06836
0.20099974,622.30927
0.20119977,622.09186
0.2013998,622.4541
0.2015996,622.1062
0.20179963,620.8983
0.20199966,620.0624
0.2021997,620.1594
0.20239973,620.4065
0.20259976,620.5192
0.2027998,620.4742
0.20299959,620.9118
0.20319963,621.0534
0.20339966,620.7411
0.20359969,620.6973
0.20379972,620.04553
0.20399976,620.0446
0.20419979,619.9544
0.20439982,619.5692
0.20459962,619.6927
0.20479965,620.11035
0.20499969,619.5485
0.20519972,618.9539
0.20539975,618.79834
0.20559978,618.73206
0.20579982,618.47894
0.20599961,618.9923
0.20619965,618.4361
0.20639968,618.7899
0.20659971,618.52
0.20679975,618.22205
0.20699978,618.78955
0.20719981,618.753
0.2073996,619.0047
0.20759964,618.93384
0.20779967,618.61145
0.2079997,619.1493
0.20819974,619.4474
0.20839977,619.402
0.2085998,619.3241
0.2087996,619.97815
0.20899963,620.32275
0.20919967,620.5666
0.2093997,620.6609
0.20959973,620.8965
0.20979977,620.8883
0.2099998,620.7493
0.2101996,620.29535
0.21039963,619.879
0.21059966,620.72076
0.2107997,619.2774
0.21099973,617.5378
0.21119976,617.7218
0.2113998,618.5869
0.21159959,618.6979
0.21179962,618.43365
0.21199965,618.75397
0.21219969,618.6495
0.21239972,619.0162
0.21259975,618.9829
0.21279979,619.46216
0.21299982,619.4971
0.21319962,619.8827
0.21339965,619.80945
0.21359968,620.2218
0.21379972,620.5732
0.21399975,620.23
0.21419978,620.3482
0.21439981,619.7549
0.21459961,619.6475
0.21479964,619.86444
0.21499968,619.7644
0.21519971,619.2903
0.21539974,619.812
0.21559978,619.6333
0.21579981,620.188
0.2159996,619.9381
0.21619964,619.9385
0.21639967,620.09625
0.2165997,620.4092
0.21679974,620.37115
0.21699977,620.99304
0.2171998,621.2575
0.2173996,621.0277
0.21759963,621.1142
0.21779966,621.7033
0.2179997,621.90674
0.21819973,622.5552
0.21839976,622.38385
0.2185998,622.00684
0.21879959,621.70953
0.21899962,621.1803
0.21919966,621.90656
0.21939969,621.6051
0.21959972,621.569
0.21979976,621.65814
0.21999979,621.57996
0.22019982,621.1432
0.22039962,621.3438
0.22059965,621.04517
0.22079968,621.08984
0.22099972,620.3145
0.22119975,620.3315
0.22139978,620.2736
0.22159982,620.27386
0.22179961,620.4438
0.22199965,620.85455
0.22219968,620.904
0.22239971,621.21594
0.22259974,621.1126
0.22279978,621.0971
0.22299981,621.634
0.2231996,621.423
0.22339964,621.78906
0.22359967,622.16486
0.2237997,622.3712
0.22399974,622.1962
0.22419977,621.7828
0.2243998,621.8277
0.2245996,620.897
0.22479963,620.9682
0.22499967,620.80304
0.2251997,620.81476
0.22539973,620.9139
0.22559977,620.8418
0.2257998,620.9452
0.2259996,620.9525
0.22619963,620.9708
0.22639966,621.42426
0.2265997,621.4631
0.22679973,621.54315
0.22699976,621.8591
0.2271998,621.8531
0.22739959,622.1171
0.22759962,622.1172
0.22779965,622.26984
0.22799969,622.3686
0.22819972,622.1698
0.22839975,622.16864
0.22859979,622.4183
0.22879982,622.78613
0.22899961,622.9753
0.22919965,622.8246
0.22939968,623.29297
0.22959971,622.5414
0.22979975,622.3022
0.22999978,621.912
0.23019981,621.7478
0.23039961,621.8691
0.23059964,621.38055
0.23079967,621.33813
0.23099971,621.0159
0.23119974,621.0369
0.23139977,621.34125
0.23159981,621.39197
0.2317996,621.64197
0.23199964,621.7712
0.23219967,621.9233
0.2323997,622.1786
0.23259974,622.59875
0.23279977,622.777
0.2329998,622.77716
0.2331996,623.1527
0.23339963,623.19794
0.23359966,623.4965
0.2337997,623.5545
0.23399973,623.2268
0.23419976,623.4084
0.2343998,622.6701
0.23459959,622.0557
0.23479962,621.5758
0.23499966,621.8259
0.23519969,622.3126
0.23539972,622.145
0.23559976,622.883
0.23579979,623.05164
0.23599982,622.9697
0.23619962,623.55206
0.23639965,623.9468
0.23659968,624.00574
0.23679972,624.9044
0.23699975,625.24445
0.23719978,625.3276
0.23739982,626.0343
0.23759961,626.22125
0.23779964,626.5928
0.23799968,626.62915
0.23819971,627.08105
0.23839974,626.80804
0.23859978,627.4673
0.23879981,627.62897
0.2389996,627.2781
0.23919964,623.7137
0.23939967,623.4219
0.2395997,624.3151
0.23979974,624.8481
0.23999977,625.62744
0.2401998,625.83844
0.2403996,626.38214
0.24059963,626.27094
0.24079967,626.2451
0.2409997,625.62476
0.24119973,625.9838
0.24139977,626.48047
0.2415998,627.20575
0.2417996,628.01306
0.24199963,628.1042
0.24219966,628.61316
0.24239969,629.28217
0.24259973,629.60803
0.24279976,629.8188
0.24299979,630.3737
0.24319959,630.3435
0.24339962,630.5064
0.24359965,630.6116
0.24379969,630.7804
0.24399972,630.8416
0.24419975,630.59045
0.24439979,630.59393
0.24459982,630.5481
0.24479961,630.59546
0.24499965,630.16656
0.24519968,629.75146
0.24539971,629.6297
0.24559975,629.4062
0.24579978,629.47174
0.24599981,629.8944
0.24619961,630.24506
0.24639964,630.41534
0.24659967,630.69916
0.2467997,630.3457
0.24699974,630.25244
0.24719977,630.30493
0.2473998,630.4416
0.2475996,630.32245
0.24779963,630.2813
0.24799967,630.06946
0.2481997,630.369
0.24839973,630.1292
0.24859977,629.81616
0.2487998,629.88275
0.2489996,630.1181
0.24919963,630.3709
0.24939966,630.4387
0.2495997,630.0164
0.24979973,630.31696
0.24999976,630.3361
0.2501998,630.06946
0.2503996,629.9771
0.25059962,629.9787
0.25079966,629.6126
0.2509997,629.36646
0.25119972,629.46484
0.25139976,629.57214
0.2515998,628.7135
0.25179982,628.9896
0.25199962,628.9815
0.25219965,629.1709
0.25239968,627.51514
0.25259972,627.95105
0.25279975,627.31213
0.25299978,627.13403
0.25319982,627.69354
0.2533996,628.1341
0.25359964,628.579
0.25379968,628.9787
0.2539997,628.5467
0.25419974,628.3712
0.25439978,628.0411
0.2545998,628.45386
0.2547996,628.4952
0.25499964,628.15265
0.25519967,628.8278
0.2553997,628.77484
0.25559974,629.0237
0.25579977,629.3261
0.2559998,629.39764
0.2561996,629.6475
0.25639963,629.9045
0.25659966,628.80084
0.2567997,629.2591
0.25699973,630.20483
0.25719976,630.8797
0.2573998,631.115
0.2575996,631.4521
0.25779963,631.46185
0.25799966,631.68176
0.2581997,631.67596
0.25839972,631.7421
0.25859976,632.24744
0.2587998,632.73944
0.2589996,631.57184
0.25919962,632.36597
0.25939965,632.05334
0.2595997,631.6367
0.25979972,631.6616
0.25999975,630.97485
0.2601998,631.42255
0.26039982,632.3568
0.2605996,632.7248
0.26079965,632.91254
0.26099968,633.12787
0.2611997,633.12604
0.26139975,632.96716
0.26159978,632.5156
0.2617998,632.7555
0.2619996,630.6935
0.26219964,632.12787
0.26239967,631.9568
0.2625997,632.09485
0.26279974,632.35693
0.26299977,632.88605
0.2631998,632.5728
0.2633996,632.39795
0.26359963,632.0401
0.26379967,631.9785
0.2639997,631.55804
0.26419973,630.69446
0.26439977,630.71765
0.2645998,630.87213
0.2647996,630.8032
0.26499963,630.3854
0.26519966,629.87537
0.2653997,629.6048
0.26559973,630.2743
0.26579976,630.23706
0.2659998,630.1123
0.2661996,630.28296
0.26639962,630.81415
0.26659966,630.4687
0.2667997,629.4578
0.26699972,628.9027
0.26719975,629.34845
0.2673998,629.951
0.26759982,630.41174
0.26779962,630.45483
0.26799965,630.30334
0.26819968,629.96436
0.26839972,629.71014
0.26859975,630.099
0.26879978,630.79706
0.26899981,630.26044
0.2691996,630.78955
0.26939964,630.8763
0.26959968,630.9955
0.2697997,630.98083
0.26999974,630.68176
0.27019978,630.837
0.2703998,630.5118
0.2705996,630.78955
0.27079964,630.43665
0.27099967,629.8686
0.2711997,630.2554
0.27139974,629.06366
0.27159977,628.4954
0.2717998,628.37537
0.2719996,628.21344
0.27219963,627.65796
0.27239966,627.86896
0.2725997,628.1581
0.27279973,629.0056
0.27299976,629.2612
0.2731998,628.83093
0.2733996,628.6646
0.27359962,627.9977
0.27379966,627.88184
0.2739997,628.88086
0.27419972,628.7867
0.27439976,628.5322
0.2745998,628.3477
0.2747996,628.31256
0.27499962,628.0733
0.27519965,627.8215
0.27539968,628.20245
0.27559972,628.7394
0.27579975,628.7463
0.27599978,629.0516
0.27619982,629.45795
0.2763996,628.8704
0.27659965,627.6929
0.27679968,627.08624
0.2769997,627.3152
0.27719975,625.3741
0.27739978,625.5577
0.2775998,627.0063
0.2777996,627.5631
0.27799964,628.0295
0.27819967,627.98456
0.2783997,627.72687
0.27859974,627.7896
0.27879977,627.6682
0.2789998,628.22266
0.2791996,628.95435
0.27939963,629.65234
0.27959967,629.8597
0.2797997,629.7379
0.27999973,629.2789
0.28019977,629.184
0.2803998,628.9973
0.2805996,629.01373
0.28079963,628.8684
0.28099966,628.5332
0.2811997,628.7447
0.28139973,628.3154
0.28159976,628.41583
0.2817998,627.5835
0.2819996,627.28345
0.28219962,627.86475
0.28239965,627.54785
0.2825997,627.72046
0.28279972,627.74603
0.28299975,627.9707
0.2831998,628.3303
0.28339982,627.8038
0.28359962,627.59784
0.28379965,627.2157
0.28399968,627.0137
0.2841997,625.94525
0.28439975,625.3418
0.28459978,626.2896
0.2847998,625.4232
0.2849996,625.43713
0.28519964,625.32153
0.28539968,624.6516
0.2855997,624.33826
0.28579974,624.8182
0.28599977,624.6973
0.2861998,625.647
0.2863996,623.72766
0.28659964,625.22644
0.28679967,624.2572
0.2869997,625.18286
0.28719974,624.48206
0.28739977,624.1133
0.2875998,624.84467
0.2877996,624.86084
0.28799963,625.3311
0.28819966,625.3256
0.2883997,625.22363
0.28859973,625.11646
0.28879976,625.1156
0.2889998,625.487
0.2891996,624.8061
0.28939962,625.4216
0.28959966,624.8425
0.2897997,625.56696
0.28999972,625.60986
0.29019976,625.0529
0.2903998,625.3385
0.29059958,625.5845
0.29079962,625.52783
0.29099965,625.9329
0.29119968,626.0108
0.29139972,625.9413
0.29159975,626.6713
0.29179978,626.36096
0.29199982,626.3796
0.2921996,624.32336
0.29239964,626.5419
0.29259968,626.54193
0.2927997,627.04785
0.29299974,626.0997
0.29319978,627.2205
0.2933998,627.5665
0.2935996,626.902
0.29379964,627.08887
0.29399967,627.0914
0.2941997,626.7757
0.29439974,626.8265
0.29459977,625.62024
0.2947998,626.62775
0.2949996,626.7636
0.29519963,626.0223
0.29539967,626.6378
0.2955997,626.15076
0.29579973,626.40015
0.29599977,625.3082
0.2961998,624.4538
0.2963996,624.26086
0.29659963,624.8044
0.29679966,624.52563
0.2969997,625.144
0.29719973,625.471
0.29739976,625.91785
0.2975998,626.13245
0.2977996,626.2777
0.29799962,626.69116
0.29819965,626.9478
0.2983997,627.14716
0.29859972,627.5496
0.29879975,627.91394
0.2989998,628.5278
0.29919982,629.0389
0.2993996,629.7738
0.29959965,629.7415
0.29979968,629.95154
0.2999997,630.5077
0.30019975,629.92114
0.30039978,630.3232
0.3005998,630.3913
0.3007996,630.512
0.30099964,630.80597
0.30119967,630.62915
0.3013997,630.9859
0.30159974,631.6908
0.30179977,631.3617
0.3019998,631.0306
0.3021996,631.697
0.30239964,631.7514
0.30259967,632.34265
0.3027997,632.4861
0.30299973,632.56305
0.30319977,633.0896
0.3033998,633.19763
0.3035996,632.7994
0.30379963,632.86475
0.30399966,632.7963
0.3041997,632.6259
0.30439973,632.38965
0.30459976,632.3
0.3047998,632.2986
0.3049996,632.31744
0.30519962,632.0254
0.30539966,631.7247
0.3055997,631.98987
0.30579972,632.2235
0.30599976,632.32574
0.3061998,632.6202
0.30639982,632.5574
0.30659962,632.8412
0.30679965,632.5112
0.30699968,632.63544
0.30719972,632.6317
0.30739975,632.70825
0.30759978,632.65216
0.30779982,632.61096
0.3079996,632.90826
0.30819964,632.93207
0.30839968,633.17865
0.3085997,632.96326
0.30879974,632.8321
0.30899978,633.2243
0.3091998,633.372
0.3093996,633.7801
0.30959964,633.72815
0.30979967,633.6558
0.3099997,633.9964
0.31019974,633.3484
0.31039977,633.14795
0.3105998,633.143
0.3107996,632.781
0.31099963,632.8263
0.31119967,632.60724
0.3113997,632.5327
0.31159973,632.192
0.31179976,631.66766
0.3119998,631.632
0.3121996,631.6598
0.31239963,632.0204
0.31259966,631.6843
0.3127997,632.12787
0.31299973,632.35315
0.31319976,632.1951
0.3133998,631.98193
0.3135996,631.5839
0.31379962,631.3299
0.31399965,631.01404
0.3141997,630.8615
